fill	xmin	xmax	ymin	ymax	showSelectedlegendfill	clickSelects	PANEL
#D95F02	0.8	1.2	1	34	test	1	1
#1B9E77	0.8	1.2	35	100	train	1	1
#1B9E77	0.8	1.2	135	200	train	1	1
#D95F02	1.8	2.2	101	134	test	2	1
#1B9E77	1.8	2.2	35	100	train	2	1
#1B9E77	1.8	2.2	135	200	train	2	1
#D95F02	2.8	3.2	35	68	test	3	1
#1B9E77	2.8	3.2	1	34	train	3	1
#1B9E77	2.8	3.2	69	134	train	3	1
#1B9E77	2.8	3.2	169	200	train	3	1
#D95F02	3.8	4.2	135	168	test	4	1
#1B9E77	3.8	4.2	1	34	train	4	1
#1B9E77	3.8	4.2	69	134	train	4	1
#1B9E77	3.8	4.2	169	200	train	4	1
#D95F02	4.8	5.2	69	100	test	5	1
#1B9E77	4.8	5.2	1	68	train	5	1
#1B9E77	4.8	5.2	101	168	train	5	1
#D95F02	5.8	6.2	169	200	test	6	1
#1B9E77	5.8	6.2	1	68	train	6	1
#1B9E77	5.8	6.2	101	168	train	6	1
#D95F02	6.8	7.2	1	34	test	7	2
#1B9E77	6.8	7.2	135	200	train	7	2
#D95F02	7.8	8.2	101	134	test	8	2
#1B9E77	7.8	8.2	35	100	train	8	2
#D95F02	8.8	9.2	35	68	test	9	2
#1B9E77	8.8	9.2	101	134	train	9	2
#1B9E77	8.8	9.2	169	200	train	9	2
#D95F02	9.8	10.2	135	168	test	10	2
#1B9E77	9.8	10.2	1	34	train	10	2
#1B9E77	9.8	10.2	69	100	train	10	2
#D95F02	10.8	11.2	69	100	test	11	2
#1B9E77	10.8	11.2	101	168	train	11	2
#D95F02	11.8	12.2	169	200	test	12	2
#1B9E77	11.8	12.2	1	68	train	12	2
#D95F02	12.8	13.2	1	34	test	13	3
#1B9E77	12.8	13.2	35	100	train	13	3
#D95F02	13.8	14.2	101	134	test	14	3
#1B9E77	13.8	14.2	135	200	train	14	3
#D95F02	14.8	15.2	35	68	test	15	3
#1B9E77	14.8	15.2	1	34	train	15	3
#1B9E77	14.8	15.2	69	100	train	15	3
#D95F02	15.8	16.2	135	168	test	16	3
#1B9E77	15.8	16.2	101	134	train	16	3
#1B9E77	15.8	16.2	169	200	train	16	3
#D95F02	16.8	17.2	69	100	test	17	3
#1B9E77	16.8	17.2	1	68	train	17	3
#D95F02	17.8	18.2	169	200	test	18	3
#1B9E77	17.8	18.2	101	168	train	18	3
